Language,Created by [CREATED_BY],Ingredient name [INGREDIENT_NAME],Category [CATEGORY],Supplier [SUPPLIER],Allergen [ALLERGEN],Allowed unit [ALLOWED_UNIT],Dietary applicability [DIETARY_APPLICABILITY],Effective start date [EFFECTIVE_START_DATE],Effective end date [EFFECTIVE_END_DATE],Status [STATUS],Last changed by [LAST_CHANGED_BY],Record ID,Data Version,Created At,Updated At,Status,PDF URL
EN,System Administrator,Cumin,Herbs - spices - condiments,Freshmed,None,"gr, Tbsp","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,552a4bfe-7876-44c1-b3f6-fa103ec01643,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Curry madras,Herbs - spices - condiments,Freshmed,None,"gr, Tbsp","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,be98bf62-9e48-4f7a-a262-37fec9cdff6f,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Diced tomatoes,Tins/Pots,Red Cross,None,"kg, gr, tin-240gr, tin-5000gr","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,9b711815-2ce0-4f66-86d4-f231ecc2fa1e,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Dill - dried,Herbs - spices - condiments,"Freshmed, VDS",None,"gr, Tbsp","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,83c74c22-7543-4ee5-9fe0-1cfc09701df5,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Dill - fresh,Herbs - spices - condiments,"Freshmed, Mabru, VDS",None,"kg, gr","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,808f64b4-fc3b-4fe8-85f9-7849b9ab9f5b,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Falafel,Vegan protein,VDS,None,"kg, gr, piece","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,434ef58d-f39f-45c6-8454-dfa7a18e4262,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Fishsticks,Animal protein Halal,VDS,"Gluten, Fish","kg, gr, piece","Diabetic, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,8130495a-76ad-4684-b6a2-a65fcb58fc45,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Garlic paste,Tins/Pots,Freshmed,None,"kg, gr, Tbsp","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,713df9af-49ff-4b64-bf1f-61243044272f,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Ginger paste,Tins/Pots,Freshmed,None,"kg, gr, Tbsp","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,8f37cb0e-504a-49f5-a694-240c38bdc45e,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Greek yogurt,Dairy,"VDS, Solucious",Milk,"kg, gr","Diabetic, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,0292b3f9-e7f5-4576-81ff-77e7dfc64da9,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Green beans - frozen,Frozen vegetables,VDS,None,"kg, gr, bag","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,52752a46-fa93-470b-8c05-fdc60cb5e980,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Green beans - tinned,Tins/Pots,Red Cross,None,"kg, gr, tin-220gr","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,b501e25a-4a46-4948-9033-d98dddb201a7,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Green lentils,Vegan protein,Freshmed,None,"kg, gr","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,41a05030-4c23-4140-a126-56fdc1646092,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Green peas - frozen,Frozen vegetables,"Freshmed, VDS",None,"kg, gr, bag","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,ce66127a-94ad-4656-bb68-34bba9bb7fcc,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Leek,Fresh vegetables,"Freshmed, Mabru, VDS",None,"kg, gr, bucket","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,bfe7f9dc-3bbd-42c4-99bc-66429e005232,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
